"","B","C1","C2","D","E","F","G","H","I","J","K","L","M","N","P","Q","T","U","X","Y"
"317","c","b","c","a","b","c","a","b","c","b","c","a","b","c","c","c","a","c","b","a"
"318","a","b","c","b","a","c","a","a","b","c","c","c","b","c","c","c","c","c","c","a"
"319","a","a","a","b","b","a","a","a","a","b","c","c","b","c","a","a","a","c","a","a"
"320","c","c","b","a","a","c","a","a","c","b","c","b","a","b","c","a","c","b","b","a"
"321","a","c","a","a","c","b","b","a","b","c","b","c","a","b","c","b","b","b","a","b"
"322","c","a","c","b","b","c","a","b","a","b","c","a","b","c","a","c","c","c","b","b"
"323","a","a","a","b","a","c","a","a","b","c","a","b","a","a","a","a","a","b","b","a"
"324","b","c","a","b","c","b","a","c","b","b","c","c","b","a","b","c","b","b","a","c"
"325","a","a","c","c","a","b","a","a","b","b","b","c","a","a","c","c","c","c","c","b"
"326","a","c","a","c","a","c","a","a","a","c","b","c","b","b","c","c","c","b","c","a"
"327","a","a","a","b","a","a","a","a","c","c","b","a","a","c","c","a","c","a","c","b"
"328","b","c","c","c","b","b","a","b","b","b","b","c","a","c","c","c","c","b","c","a"
"329","a","a","a","a","c","b","a","a","b","b","c","a","c","a","a","a","b","a","a","c"
"330","a","a","a","a","a","b","a","a","a","a","c","c","a","a","b","b","b","a","b","c"
"331","a","b","c","b","a","c","a","a","a","b","c","c","b","a","c","c","a","b","a","a"
"332","b","a","a","b","b","b","a","b","c","b","b","c","a","a","a","a","a","a","a","a"
"333","a","a","c","a","c","b","a","c","b","b","c","b","b","c","c","a","c","b","b","b"
"334","b","c","a","b","b","a","a","b","c","b","c","a","a","a","a","b","a","b","b","a"
"335","a","c","c","a","b","a","a","b","a","b","c","a","b","a","b","b","a","b","b","a"
"336","c","c","c","a","b","a","a","b","c","b","c","a","b","a","a","a","a","c","c","a"
"337","a","c","b","a","a","a","b","c","b","b","c","a","a","a","a","a","a","c","b","a"
"338","a","a","c","a","b","a","a","b","c","b","c","b","a","a","c","a","b","a","b","c"
"339","a","a","a","a","c","a","a","c","b","b","c","a","b","c","a","a","a","a","a","a"
"340","b","b","a","b","c","b","a","c","b","b","c","b","a","a","a","a","a","a","a","a"
"341","a","b","a","a","b","a","a","a","b","b","b","c","a","a","a","b","a","a","a","a"
"342","a","b","b","b","b","b","a","b","b","b","c","a","b","c","c","a","c","c","c","a"
"343","b","b","c","b","a","b","a","a","c","b","c","a","c","c","c","c","c","c","b","a"
"344","a","a","a","a","c","b","b","a","b","c","c","a","c","c","b","a","c","b","b","b"
"345","a","c","a","b","b","c","a","c","c","b","c","a","c","c","b","a","b","c","b","b"
"346","c","b","b","b","a","a","a","a","c","b","c","b","a","a","a","a","a","c","c","a"
"347","b","b","b","b","b","b","a","c","c","b","c","a","c","c","a","a","a","b","b","b"
"348","a","a","b","c","a","a","b","c","b","b","c","c","b","a","c","a","c","a","c","b"
"349","b","c","a","b","b","c","a","b","c","a","b","c","a","a","b","c","b","b","b","c"
"350","b","a","c","c","c","a","a","a","b","b","c","a","a","b","a","a","a","c","a","b"
"351","b","a","a","c","a","b","a","a","b","b","a","b","a","a","a","a","a","b","a","c"
"352","b","a","c","c","b","b","a","a","c","c","a","b","b","c","b","b","a","b","c","a"
"353","a","c","a","a","c","a","b","a","a","c","b","c","a","a","a","a","c","b","c","a"
"354","c","a","b","a","a","a","a","a","c","b","c","c","b","a","a","b","c","c","c","a"
"355","b","b","a","c","a","a","a","c","a","a","b","c","a","a","a","a","c","a","b","b"
"356","c","a","b","b","c","a","a","c","a","b","a","b","a","a","b","b","b","a","c","b"
"357","c","b","a","b","b","a","a","b","a","c","b","c","a","a","b","a","a","c","a","a"
"358","a","a","a","b","a","c","a","a","c","a","b","c","a","a","c","a","c","c","c","a"
"359","b","a","a","b","a","a","a","a","c","c","c","a","b","b","b","c","c","c","a","b"
"360","c","b","c","b","b","c","a","b","c","b","c","c","c","c","b","a","b","c","b","a"
"361","a","c","b","b","a","c","a","a","a","a","c","c","b","c","a","a","c","b","c","a"
"362","a","a","a","b","a","a","a","a","a","b","b","c","a","b","b","b","a","a","c","c"
"363","b","a","a","c","b","c","a","b","a","c","c","b","a","a","b","c","b","a","b","c"
"364","a","a","a","a","a","a","b","c","c","b","b","c","a","a","c","a","a","a","b","a"
"365","a","a","b","c","a","b","b","b","b","b","a","b","a","a","c","a","c","b","c","b"
"366","c","a","c","b","c","a","a","c","a","b","b","b","a","a","a","a","a","b","a","a"
"367","a","a","a","a","a","a","a","a","b","b","c","b","a","a","c","c","a","c","b","b"
"368","a","a","a","a","b","a","a","b","b","b","c","b","b","a","b","c","a","a","a","a"
"369","b","c","a","b","a","a","a","a","a","b","c","c","c","c","a","a","a","b","a","a"
"370","c","b","b","b","a","c","a","a","b","b","c","c","a","a","a","a","c","c","c","a"
"371","b","a","a","c","b","b","b","a","c","b","c","a","b","a","a","a","a","a","a","a"
"372","c","b","c","a","a","a","a","b","c","b","b","c","b","a","b","b","b","c","b","c"
"373","b","b","c","b","a","a","b","b","a","c","c","a","b","c","a","a","b","c","b","c"
"374","b","a","c","b","a","c","a","a","c","b","c","c","b","a","b","b","b","b","a","c"
"375","b","a","a","b","a","c","a","a","a","b","c","c","b","c","a","a","a","a","a","a"
"376","b","c","c","c","a","b","b","b","a","c","a","b","a","b","a","c","c","b","b","b"
"377","a","a","a","a","a","b","a","a","b","b","b","c","a","a","b","c","b","a","a","c"
"378","c","b","b","b","a","c","a","a","b","b","c","a","b","c","a","a","b","a","b","b"
"379","c","c","c","b","a","b","c","a","b","b","c","b","a","a","a","a","a","b","a","a"
"380","b","a","b","b","a","c","a","a","c","a","b","c","a","c","a","a","a","a","a","a"
"381","b","b","b","b","b","b","b","a","a","b","c","a","b","a","c","a","c","c","c","b"
"382","a","a","a","a","a","a","a","a","c","b","a","b","a","a","a","b","a","b","a","a"
"383","a","a","a","c","a","a","a","a","b","b","c","b","a","a","c","c","a","a","a","a"
"384","a","a","a","c","c","a","a","c","b","b","c","b","a","b","a","a","a","a","a","a"
"385","c","a","b","a","a","c","a","a","b","b","a","c","a","a","c","a","c","a","c","b"
"386","c","b","b","b","c","c","a","b","a","b","c","b","a","a","c","a","c","c","a","a"
"387","c","b","c","a","c","a","a","c","b","b","a","b","a","a","a","a","b","c","b","a"
"388","a","b","a","c","c","c","a","c","c","b","c","a","c","a","a","a","a","b","a","a"
"389","b","a","a","c","b","a","a","a","b","c","c","b","a","a","c","a","c","a","b","a"
"390","a","c","c","c","a","b","a","a","a","a","a","b","c","c","c","c","c","b","c","a"
"391","b","a","a","b","b","c","a","b","a","b","b","a","c","c","c","c","a","a","a","a"
"392","a","c","a","a","a","a","b","c","b","b","c","a","c","c","a","b","a","b","a","a"
"393","b","a","a","b","c","c","a","c","b","b","c","a","c","a","b","c","a","a","a","a"
"394","a","c","b","c","b","b","a","b","c","c","b","c","a","a","c","b","a","c","c","c"
"395","a","a","a","b","c","b","a","c","b","b","b","a","c","c","a","a","a","c","c","a"
"396","b","a","a","c","c","a","a","a","b","b","b","c","a","b","c","c","b","b","a","a"
"397","b","a","b","b","b","a","a","b","c","b","c","a","b","c","a","a","c","b","c","b"
"398","a","a","a","a","c","a","a","c","b","c","a","b","a","a","c","c","c","b","b","a"
"399","a","a","a","a","b","a","a","b","b","c","b","c","a","b","a","a","c","b","c","a"
"400","b","b","b","c","a","b","b","a","a","b","c","a","b","a","c","c","c","b","c","a"
"401","b","a","a","b","a","c","a","a","c","b","c","b","a","a","a","a","a","a","a","a"
"402","b","a","c","c","a","b","a","a","a","b","c","a","b","c","c","a","c","c","c","b"
"403","a","c","a","a","b","b","c","b","c","b","c","c","c","c","a","c","a","c","c","a"
"404","b","a","c","c","a","b","a","a","b","c","a","a","b","c","b","c","a","c","c","c"
"405","a","a","a","c","c","a","c","a","b","b","c","a","b","c","c","c","a","b","a","a"
"406","b","b","c","c","c","b","b","c","c","c","c","b","a","c","a","a","a","c","b","a"
"407","a","a","a","c","c","b","a","c","c","b","b","c","b","a","c","c","a","a","a","a"
"408","c","a","c","a","c","b","c","b","b","b","c","c","b","c","c","a","c","c","b","b"
"409","c","b","b","a","c","c","b","a","b","b","b","c","a","a","c","c","a","c","c","a"
"410","a","b","a","a","a","a","c","a","c","b","c","a","b","a","b","c","a","c","a","a"
"411","b","a","a","b","c","c","c","a","b","b","c","c","b","a","c","b","c","a","a","a"
"412","b","b","c","b","a","c","b","b","b","b","b","c","b","a","b","b","b","c","a","c"
"413","a","a","a","c","b","b","a","b","a","b","c","a","b","b","a","a","c","b","a","b"
"414","b","c","c","b","b","a","c","a","b","b","c","b","a","a","c","a","c","b","c","a"
"415","b","c","b","b","a","b","a","a","c","c","b","c","b","b","b","c","b","b","b","c"
"416","a","b","a","c","a","a","a","a","a","a","b","c","a","a","c","c","c","b","b","b"
"417","b","a","c","b","c","c","a","c","b","b","c","b","a","a","c","c","a","a","b","a"
"418","b","b","b","b","a","a","b","a","b","a","b","a","a","c","a","a","c","c","a","a"
"419","a","a","a","b","c","c","a","c","b","c","c","a","b","c","a","a","a","a","b","a"
"420","a","b","c","b","a","c","a","a","a","b","c","c","c","c","a","a","c","b","b","a"
"421","c","c","b","b","a","c","a","a","b","a","b","c","a","a","b","b","a","c","c","a"
"422","c","b","c","b","c","b","a","c","b","b","c","c","a","a","c","a","a","c","b","a"
"423","a","b","a","b","a","c","a","a","a","b","c","a","b","a","a","a","a","c","a","a"
"424","c","a","c","b","a","a","a","a","b","b","c","b","b","a","a","b","a","b","c","a"
"425","b","c","a","b","b","a","a","a","b","c","a","c","c","b","c","c","a","c","c","a"
"426","c","b","b","a","b","b","a","b","c","b","b","c","b","c","a","a","b","c","a","a"
"427","b","a","a","c","c","b","a","c","b","c","c","a","c","b","c","c","c","a","b","b"
"428","a","a","a","b","a","b","a","a","a","b","c","c","c","b","b","a","b","b","a","c"
"429","b","a","a","a","a","b","a","a","a","b","b","b","a","a","a","a","a","a","a","b"
"430","b","c","b","b","c","b","a","b","b","c","a","b","a","a","a","a","b","c","b","c"
"431","b","a","a","b","a","c","a","a","c","b","c","b","a","a","a","a","b","a","a","c"
"432","a","a","c","b","a","b","a","a","b","c","b","a","c","b","a","a","c","a","c","b"
"433","a","a","a","a","a","a","a","a","b","b","c","c","b","c","c","a","a","a","a","a"
"434","b","c","a","c","b","a","b","c","c","b","c","c","b","a","c","a","c","b","a","a"
"435","b","a","b","b","a","c","a","a","b","b","c","a","b","a","b","b","a","c","a","a"
"436","c","b","c","c","a","b","a","a","c","c","c","b","b","a","a","c","c","c","c","c"
"437","a","c","a","a","c","b","a","c","a","a","c","b","a","a","c","a","a","a","c","a"
"438","a","a","a","c","a","a","b","a","b","b","c","b","c","c","b","a","a","b","a","c"
"439","b","b","a","b","a","c","a","a","b","b","a","b","a","a","c","c","a","b","a","a"
"440","b","a","b","c","a","a","a","a","b","a","c","b","b","b","a","b","c","c","b","b"
"441","b","a","a","c","b","a","a","c","c","b","c","b","b","c","a","b","a","a","a","a"
"442","b","c","a","b","a","b","b","b","a","b","c","b","c","c","a","a","a","a","a","a"
"443","c","b","b","a","a","b","a","a","c","b","c","b","a","a","c","c","c","b","a","b"
"444","c","a","c","b","c","a","a","a","b","a","c","a","b","b","a","a","a","b","c","a"
"445","a","a","a","b","a","c","b","b","a","b","b","c","a","a","a","a","b","a","b","c"
"446","b","c","a","b","b","c","a","c","a","b","c","c","b","a","a","b","a","c","a","a"
"447","c","a","b","b","c","c","a","c","b","b","b","c","c","c","b","a","c","b","c","b"
"448","c","b","c","a","a","c","a","a","c","b","c","a","a","a","b","a","a","a","b","a"
"449","a","b","c","a","c","a","a","c","b","b","c","a","c","c","a","b","a","b","c","a"
"450","b","c","b","c","a","a","a","a","a","b","c","c","b","a","c","a","a","c","c","b"
"451","b","b","c","b","a","c","a","c","c","c","a","a","b","c","a","a","a","b","c","a"
"452","b","a","c","c","a","b","a","c","a","c","b","c","b","c","c","c","a","a","c","a"
"453","c","c","b","a","c","a","c","a","c","b","c","c","b","c","b","b","b","b","c","c"
"454","b","a","a","c","b","a","a","b","c","b","c","a","c","b","c","a","c","c","a","b"
"455","b","a","a","c","a","b","a","a","a","a","c","a","b","c","c","a","c","a","c","b"
"456","b","b","c","b","a","b","a","a","c","b","c","c","c","b","c","c","c","c","a","a"
"457","c","a","c","a","b","a","a","c","a","a","b","a","c","c","a","a","a","c","c","a"
"458","a","c","a","c","c","b","b","a","b","b","c","a","b","c","c","a","a","c","a","a"
"459","b","c","a","c","b","a","a","b","b","b","c","c","b","a","a","a","a","b","a","b"
"460","a","a","a","a","c","c","b","a","a","c","c","b","a","b","a","a","a","a","a","c"
"461","a","a","a","a","a","a","a","a","a","b","c","a","b","a","c","a","a","a","a","a"
"462","a","a","a","a","a","b","a","a","b","b","b","c","a","b","a","a","a","a","a","a"
"463","b","a","a","b","c","b","a","c","b","b","c","b","b","a","a","a","a","a","a","b"
"464","b","c","a","b","c","b","b","a","b","c","b","c","c","c","c","c","b","a","b","b"
"465","a","c","a","b","c","a","b","c","a","a","c","a","b","a","c","c","c","b","c","a"
"466","c","c","a","b","c","c","b","c","b","b","b","c","a","a","a","b","a","b","a","c"
"467","b","a","c","b","b","c","a","a","a","b","c","b","b","a","b","c","a","a","b","b"
"468","c","a","a","b","a","a","b","b","b","b","c","c","b","a","a","a","a","a","a","a"
"469","b","c","a","a","a","a","a","a","a","b","c","b","a","a","a","a","c","b","a","a"
"470","b","b","a","b","c","b","a","a","b","b","c","a","b","a","b","b","b","b","a","a"
"471","a","a","a","a","a","a","a","a","b","c","b","c","a","a","a","a","b","b","b","c"
"472","b","b","b","b","b","c","a","b","c","b","a","a","b","c","a","c","c","b","c","b"
"473","b","c","a","c","b","b","a","a","a","a","b","b","a","a","b","a","b","b","a","c"
"474","a","a","b","c","c","b","a","c","b","c","a","b","a","c","c","c","b","b","b","c"
"475","b","a","b","b","c","b","a","c","b","b","c","b","a","a","a","a","a","a","c","a"
"476","a","c","c","b","a","c","a","a","a","a","b","c","a","a","c","b","c","b","c","a"
"477","b","c","a","b","c","c","a","c","b","b","c","a","a","a","b","a","a","a","a","a"
"478","c","a","b","a","c","b","a","c","b","a","b","c","c","c","a","a","a","c","b","a"
"479","b","b","a","b","c","c","a","a","b","a","b","a","c","c","a","c","a","b","c","b"
"480","b","b","c","c","a","b","a","a","b","b","c","c","c","c","a","a","a","b","a","a"
"481","b","a","b","a","a","a","a","c","a","a","a","c","c","c","c","c","a","b","c","a"
"482","b","b","b","b","b","b","a","a","c","b","b","c","a","a","c","c","c","c","c","b"
"483","b","a","b","c","c","c","a","c","c","b","b","a","a","a","a","c","c","a","c","b"
"484","a","a","a","a","c","a","a","c","b","c","a","c","b","b","a","a","a","b","a","a"
"485","a","a","c","c","b","b","a","c","a","b","c","a","a","a","a","a","a","b","b","a"
"486","c","a","b","b","c","a","b","a","b","b","c","a","b","c","c","a","a","b","c","a"
"487","c","c","c","b","a","c","c","b","a","b","b","c","a","a","c","a","c","c","c","a"
"488","b","b","b","c","a","b","c","a","c","b","c","a","b","a","b","c","c","c","c","c"
"489","b","c","c","b","a","c","a","a","b","b","c","b","a","a","a","a","c","c","b","a"
"490","b","a","a","c","a","b","a","a","a","b","c","b","a","a","a","a","a","a","a","b"
"491","b","b","c","b","a","a","a","a","c","b","c","b","c","a","b","a","a","c","b","a"
"492","b","a","c","c","a","b","a","a","c","c","c","a","b","b","a","a","c","c","b","b"
"493","a","a","b","c","a","c","b","a","a","a","a","c","b","c","a","a","a","b","a","a"
"494","a","b","c","b","c","c","a","c","b","c","c","a","b","c","b","c","b","c","b","c"
"495","a","b","b","c","a","c","a","a","b","b","c","b","a","a","a","b","a","c","b","c"
"496","a","a","a","a","c","a","a","c","b","b","a","b","a","a","a","c","a","b","a","a"
"497","b","b","a","b","c","c","a","a","b","b","c","a","c","c","c","c","a","b","a","a"
"498","c","a","c","a","c","b","b","a","b","b","b","c","b","a","b","c","b","a","b","c"
"499","b","c","a","b","c","a","b","a","b","b","c","a","b","a","a","c","c","b","c","a"
"500","a","a","a","a","a","c","a","c","a","c","b","c","a","a","c","c","c","b","b","b"
"501","a","a","a","a","c","b","a","c","b","b","c","a","a","a","a","b","a","a","a","a"
"502","b","b","c","b","c","c","a","a","b","b","c","c","b","a","b","c","a","c","b","a"
"503","c","b","c","b","c","b","b","c","b","b","b","c","b","a","a","c","a","b","a","a"
"504","b","a","a","b","c","a","a","a","b","a","a","b","a","a","a","a","a","b","c","a"
"505","b","c","b","b","c","a","a","c","b","a","c","c","b","c","a","a","a","b","a","a"
"506","b","a","a","b","b","c","a","a","a","a","c","b","a","a","c","c","c","b","c","b"
"507","c","c","b","a","c","a","c","a","b","b","c","b","a","a","a","a","a","c","c","a"
"508","a","c","a","c","a","b","a","a","b","b","c","c","c","b","a","a","a","a","a","a"
"509","b","a","a","b","c","c","b","c","c","c","b","a","c","c","a","a","a","b","a","a"
"510","c","a","b","a","a","b","a","a","a","c","c","b","a","a","a","a","a","b","c","a"
"511","b","a","a","b","a","c","b","b","a","a","b","a","c","c","a","a","a","a","c","a"
"512","b","b","b","b","a","c","a","a","b","b","c","b","b","a","c","a","a","b","c","b"
"513","a","a","c","b","a","c","a","a","b","b","c","b","a","a","b","b","c","a","c","a"
"514","a","c","a","b","a","b","b","a","a","c","c","a","b","b","c","c","c","b","c","a"
"515","b","c","c","b","a","a","a","a","c","a","b","b","a","a","c","a","a","b","c","a"
"516","a","a","a","a","a","c","a","a","c","b","c","b","a","a","a","a","c","a","a","b"
"517","a","a","a","a","a","c","a","a","c","b","c","c","c","c","a","c","b","a","a","c"
"518","b","c","a","b","a","a","a","a","a","b","c","b","a","a","a","a","a","b","a","a"
"519","c","b","b","a","a","a","a","a","c","b","a","c","c","c","a","a","a","c","a","a"
"520","c","a","b","b","a","c","a","a","c","c","b","a","b","b","c","c","c","a","c","b"
"521","b","c","a","b","c","a","a","a","c","b","c","b","b","a","c","a","a","b","b","c"
"522","c","a","b","a","a","a","a","a","a","c","a","c","a","c","c","a","a","b","c","c"
"523","b","a","c","b","b","c","a","c","b","b","a","a","c","c","c","a","a","a","a","a"
"524","a","a","c","c","a","a","b","a","b","a","a","b","a","a","c","c","c","a","b","b"
"525","b","b","c","b","b","c","a","a","c","b","c","a","b","c","a","a","a","c","c","a"
"526","b","c","b","b","a","c","a","a","a","a","b","c","a","a","a","b","a","a","c","a"
"527","b","a","c","b","b","c","b","a","c","c","c","a","b","c","b","b","b","a","c","c"
"528","b","b","b","c","c","c","b","a","b","a","b","c","b","a","b","b","b","b","c","a"
"529","b","b","b","c","a","b","a","a","b","c","b","c","a","c","a","a","a","a","c","c"
"530","a","a","a","c","a","a","a","a","c","a","c","a","a","a","c","a","c","a","c","b"
"531","a","a","a","b","b","b","b","c","a","b","c","a","b","b","c","c","b","a","a","c"
"532","b","a","a","b","c","c","a","c","b","b","b","c","c","c","a","a","a","a","a","a"
"533","a","a","a","b","b","c","a","a","a","b","a","b","b","c","a","a","a","a","a","a"
"534","b","c","a","c","a","c","c","a","c","c","a","b","a","a","a","a","b","a","b","c"
"535","a","a","a","a","b","a","b","c","b","a","a","a","b","c","c","a","c","a","b","b"
"536","b","a","a","b","a","b","b","b","c","a","c","b","a","a","c","a","c","a","c","b"
"537","b","a","a","b","b","b","a","b","b","b","c","a","c","c","b","a","b","a","a","c"
"538","b","c","c","b","b","c","b","c","b","b","b","a","c","a","c","c","c","a","b","a"
"539","b","b","c","c","a","a","a","a","c","a","c","a","b","c","a","a","b","c","b","a"
"540","b","b","b","b","c","c","b","a","b","b","c","a","b","a","a","a","a","b","c","a"
"541","c","b","b","a","b","a","a","b","a","a","b","a","c","c","a","a","c","c","b","a"
"542","c","a","a","a","c","a","b","c","b","a","c","b","a","b","a","a","a","a","c","b"
"543","a","c","c","b","a","b","a","a","a","b","b","a","c","b","b","b","a","c","a","a"
"544","a","a","a","a","a","a","a","a","c","b","c","b","a","a","b","b","a","b","a","a"
"545","b","b","a","c","b","b","a","b","b","c","b","a","b","c","a","a","a","a","b","a"
"546","a","a","c","b","b","a","c","c","c","b","c","a","a","a","a","a","a","a","a","a"
"547","b","a","a","b","a","a","a","a","a","b","c","a","b","c","a","b","a","b","a","a"
"548","a","a","a","b","a","c","a","a","c","b","c","b","a","a","c","c","a","b","a","a"
"549","b","c","b","b","a","c","a","c","b","c","b","b","a","c","a","a","a","c","c","a"
"550","c","b","c","b","c","c","a","a","b","a","a","b","a","a","b","b","b","c","c","a"
"551","c","a","b","c","a","a","a","a","c","b","a","b","a","a","c","a","a","c","c","a"
"552","a","a","a","a","c","a","a","c","b","b","b","a","b","a","c","c","a","a","a","a"
"553","b","c","a","b","a","b","a","a","a","c","c","c","b","c","a","b","c","c","b","b"
"554","a","c","c","c","b","b","a","a","b","b","c","b","a","b","b","b","b","b","b","c"
"555","a","b","c","b","b","b","a","c","b","b","c","a","b","c","a","a","c","c","b","c"
"556","c","b","c","b","c","c","a","c","b","b","c","b","a","a","a","a","a","c","a","a"
"557","a","b","b","c","c","b","a","c","b","a","b","c","c","c","c","c","c","c","a","c"
"558","a","a","c","c","a","c","a","a","a","a","b","a","c","c","a","a","c","c","c","a"
"559","a","a","b","b","a","c","a","a","a","b","c","c","c","c","a","a","a","b","a","a"
"560","a","a","b","a","c","a","b","a","b","b","b","c","a","a","a","c","c","a","c","b"
"561","b","a","c","a","c","a","a","c","b","c","a","c","c","c","a","a","a","c","c","a"
"562","a","c","c","b","c","b","a","b","b","c","a","b","b","c","a","a","a","b","c","a"
"563","b","a","c","b","a","a","a","a","c","b","c","b","a","a","a","a","c","b","c","b"
"564","b","b","a","b","a","c","c","b","b","b","c","c","c","a","b","b","b","a","a","c"
"565","b","c","a","b","b","c","a","a","c","b","c","c","b","a","b","a","a","b","a","b"
"566","b","c","a","c","a","b","a","b","c","b","c","c","c","c","b","a","b","b","a","c"
"567","b","a","b","c","b","a","a","b","a","a","c","b","a","a","a","c","a","c","c","a"
"568","a","c","b","a","a","a","a","b","b","b","c","c","b","a","a","a","a","c","a","a"
"569","b","c","b","b","c","c","b","a","a","b","b","a","c","b","c","a","c","c","c","a"
"570","c","c","c","b","a","b","a","a","b","b","c","c","b","a","c","c","b","b","a","c"
"571","c","b","b","a","a","b","b","b","a","b","c","a","b","a","a","a","a","c","c","a"
"572","b","a","c","c","c","b","b","a","b","b","c","b","a","a","a","a","a","b","c","a"
"573","b","a","a","b","a","c","a","a","b","c","c","a","a","a","a","a","a","a","a","b"
"574","a","a","a","b","a","c","a","a","b","b","c","a","b","c","c","c","a","a","a","a"
"575","c","a","b","a","b","b","b","a","b","b","a","a","b","a","a","a","a","a","c","a"
"576","c","c","c","a","c","a","c","a","b","a","c","c","c","c","c","a","c","b","b","a"
"577","a","b","c","b","c","b","c","c","b","b","c","a","b","a","a","b","c","c","b","a"
"578","a","a","b","a","c","a","b","c","b","c","c","c","c","a","b","b","b","c","b","c"
"579","a","a","a","a","a","a","b","b","a","b","c","a","b","a","a","a","c","a","a","b"
"580","c","b","c","b","a","c","a","b","b","b","c","b","a","a","b","b","b","c","b","a"
"581","a","b","b","b","b","a","b","c","c","b","c","a","b","a","a","c","a","a","a","a"
"582","b","a","a","c","c","a","a","c","b","b","b","c","a","a","a","a","c","a","a","b"
"583","b","a","a","b","b","a","b","c","b","b","c","c","c","c","c","a","c","a","b","b"
"584","b","a","a","c","c","b","a","a","b","b","b","c","a","a","a","a","a","a","c","a"
"585","a","c","c","c","a","c","a","a","a","b","b","c","c","c","a","a","a","b","a","a"
"586","b","c","c","b","c","c","a","b","c","c","b","b","a","c","a","b","a","c","b","a"
"587","a","a","a","c","b","b","a","b","b","c","a","c","b","c","c","b","c","b","b","b"
"588","a","c","c","b","a","c","a","a","a","b","b","c","a","c","b","c","b","b","b","c"
"589","c","c","c","c","a","b","a","a","b","b","c","c","c","c","a","a","a","a","a","a"
"590","b","a","c","b","c","c","a","c","b","c","b","c","b","b","c","c","a","c","c","c"
"591","c","b","b","a","a","a","b","a","c","a","b","b","a","a","a","a","c","c","a","a"
"592","c","b","b","a","a","a","b","b","b","b","c","a","b","a","a","a","a","c","c","a"
"593","a","a","c","c","a","a","a","a","b","c","a","c","c","c","a","c","a","a","c","a"
"594","a","c","c","c","a","b","a","a","a","b","c","a","b","a","a","a","a","c","b","a"
"595","a","c","a","a","c","a","c","c","a","b","c","b","a","a","b","b","b","c","a","b"
"596","b","c","a","c","c","b","b","a","b","b","c","c","c","b","a","a","c","b","c","a"
"597","b","a","a","b","c","b","a","c","b","c","b","c","a","c","b","a","b","b","b","a"
"598","a","c","a","b","a","a","a","a","a","c","b","c","b","a","a","c","c","b","c","a"
"599","a","a","a","a","b","b","a","a","b","c","b","a","b","b","a","a","b","b","b","a"
"600","a","a","a","a","c","a","a","c","b","b","c","c","b","a","a","a","c","b","a","b"
"601","b","a","c","a","c","a","b","a","b","b","c","c","c","c","b","b","b","a","b","c"
"602","b","a","a","b","a","c","a","a","b","b","c","a","b","a","c","c","a","a","a","a"
"603","a","b","c","b","c","b","c","a","b","c","c","c","b","b","a","a","a","c","b","a"
"604","b","a","a","b","a","c","a","a","c","b","c","a","b","a","c","c","c","a","a","b"
"605","a","c","c","b","b","b","a","a","b","a","c","a","a","a","b","b","a","b","c","a"
"606","a","c","a","c","c","b","a","a","b","b","a","b","a","a","a","a","a","a","a","c"
"607","a","a","a","b","b","c","b","c","c","b","c","c","b","c","a","c","c","c","a","c"
"608","a","b","a","b","a","b","a","a","b","c","c","a","c","c","b","c","b","a","b","c"
"609","b","b","a","b","c","c","a","c","b","b","c","b","a","a","a","a","a","a","a","b"
"610","a","c","a","b","a","c","a","b","a","a","b","c","b","b","c","c","c","b","b","a"
"611","b","a","a","b","b","c","a","b","b","b","c","c","a","a","b","b","a","b","b","a"
"612","c","b","c","a","b","a","a","b","c","b","c","a","c","c","a","a","a","a","b","a"
"613","b","a","c","b","c","c","a","c","b","a","c","b","c","c","b","b","a","a","a","c"
"614","b","a","a","b","b","c","c","a","a","a","c","b","a","c","a","a","a","b","a","a"
"615","c","c","c","b","a","c","a","a","b","b","b","b","a","a","a","c","a","c","a","a"
"616","c","c","a","b","b","c","b","a","c","a","b","c","a","a","b","c","a","c","c","a"
"617","a","b","a","a","a","b","b","a","a","b","c","a","b","a","a","a","a","a","a","a"
"618","b","a","a","c","a","c","b","a","b","c","a","b","c","b","a","a","a","a","b","a"
"619","b","a","a","b","a","c","a","a","a","c","c","c","b","c","a","a","a","a","a","a"
"620","b","b","a","b","a","c","a","a","b","c","a","b","a","a","b","b","b","c","b","a"
"621","c","b","a","b","b","c","a","b","c","b","c","a","a","a","a","c","a","a","a","a"
"622","b","b","b","b","a","b","a","a","b","b","c","c","b","a","b","c","b","c","c","a"
"623","c","a","c","b","a","b","a","a","a","b","c","c","c","c","c","c","c","c","b","b"
"624","b","a","c","b","a","c","a","a","c","b","c","a","b","a","a","a","a","a","b","a"
"625","a","c","a","b","b","c","a","b","b","c","c","b","a","c","c","c","a","b","c","a"
"626","b","b","b","b","b","c","a","b","c","b","c","b","a","a","c","a","c","c","c","a"
"627","a","a","a","b","c","a","b","a","b","b","c","c","b","c","a","c","a","b","a","a"
"628","b","b","b","b","a","c","a","a","b","b","c","b","a","a","c","a","c","c","c","a"
"629","b","c","b","b","b","c","a","b","a","b","c","a","b","c","c","c","b","b","b","b"
"630","a","b","a","b","c","c","a","c","b","a","c","c","b","a","a","c","c","b","c","c"
"631","c","a","b","b","c","c","a","c","c","c","a","b","a","c","a","c","c","a","c","b"
"632","a","c","a","b","a","b","b","a","b","b","c","a","b","a","a","a","c","b","a","a"
"633","a","b","a","b","c","b","b","a","b","c","b","c","b","b","a","a","a","b","b","a"
